Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse
SOLV/,solv/i,F,BRO7: solvi,,"résoudre, dissoudre AK",dissolve AK,"lösen, auflösen AK",rozwiązać,"растворять в жидкости; решать задачу, загадку AK"
SOMER/,somer/o,F,BRO4: somero,,été,summer,Sommer,lato,лѣто
SON/,son/i,F,BRO3: soni,,"sonner, rendre des sons, résonner",sound (intr.) AK,"tönen, klingen AK",brzmieć,звучать
SON/SERPENT/,son/serpent/o,F,,,serpent à sonnettes,rattle-snake,Klapperschlange,grzechotnik,гремучая змѣя
SONĜ/,sonĝ/i,F,BRO7: sonĝi,,"songe, rêve AK",dream,träumen,śnić,видѣть во снѣ
SONOR/,sonor/o,F,BRO7: sonoro,,"tinter, sonner, résonner AK",give out a sound (as a bell),"läuten, hallen AK","dzwonić, brzęczeć AK",звенѣть
SOPIR/,sopir/i,F,BRO8: sopiri,,soupirer après,"long for, yearn AK","sich sehnen, seufzen AK","tęsknić, wzdychać AK",тосковать
SOPRAN/,sopran/o,F,,,soprano AK,"soprano, treble AK",Sopran (weibliche) Oberstimme AK,"sopran, dyszkant","дискант, сопрано AK"
SORB/,sorb/i,F,BRO9: sorbi,,"humer, absorber, s’imprégner de AK","absorb, sip AK","schlürfen, einsaugen AK","chlipać, wchłaniać AK","всасывать, хлебать AK"
SORĈ/,sorĉ/i,F,BRO8: sorĉi,,"pratiquer la magie, la sorcellerie",practise witchcraft AK,zaubern,czarować,колдовать
SORIK/,sorik/o,F,,,musaraigne,shrew-mouse,Spitzmaus,kretomysz,землеройка
SORP/,sorp/o,F,,,sorbe,sorb (sorb-apple) AK,Ebereschenbeere,jarzębina,рябина
SORT/,sort/o,F,BRO6: sorto,,"sort, destinée","fate, lot",Schicksal,los,судьба
SOVAĜ/,sovaĝ/a,F,BRO8: sovaĝa,,sauvage,"wild, savage",wild,dziki,дикій
SPAC/,spac/o,F,BRO7: spaco,,espace,"room, space",Raum,przestrzeń,пространство
SPALIR/,spalir/o,F,,,espalier,espalier,Spalier,szpaler,шпалера AK
SPAT/,spat/o,F,,,"éparvin, spath",spar (min.) AK,Spath,spat,шпатъ
SPEC/,spec/o,F,BRO4: speco,,espèce,"kind, species","Art, Gattung","rodzaj, gatunek","родъ, сортъ"
SPECIAL/,special/a,F +1OA +7OA,BRO6: speciala,,spécial,special,"speziell, Spezial-",specjalny,спеціальный
SPEGUL/,spegul/o,F,BRO6: spegulo,,miroir,looking-glass,Spiegel,zwierciadło,зеркало
SPERT/,spert/a,F,BRO6: sperta,,expérimenté,experienced AK,"erfahren, bewandert",doświadczony,опытный
SPEZ/,spez/i,F,BRO6: spezi,,virement,"turnover (money), exchange AK",Umsatz,obrót,оборот (в торговле) AK
SPIC/,spic/o,F,BRO6: spico,,épice,spice,Gewürz,"przyprawa, korzenie",пряность
SPIK/,spik/o,F,BRO9: spiko,,épi,"ear head (of corn, etc.)",Aehre,kłos,колосъ
SPIN/,spin/o,F,,,"épine dorsale, échine AK","spine, back-bone",Rückgrat,grzbiet,хребетъ
SPINAC/,spinac/o,F,BRO9: spinaco,,épinards,spinach,Spinat,szpinak,шпинатъ
SPION/,spion/o,F,,,espion,spy (a) AK,Spion,szpieg,шпіонъ
SPIR/,spir/i,F,BRO5: spiri,,respirer,breathe,athmen,oddychać,дышать
SPIRIT/,spirit/o,F,BRO5: spirito,,esprit,spirit,Geist,duch,духъ
SPIT/,spit/i,F,BRO9: spiti,,en dépit de,in spite of,"trotz (dem, der usw) AK",na przekór,"вопреки, наперекор AK"
SPONG/,spong/o,F,BRO9: spongo,,éponge,sponge,Schwamm,gąbka,губка
SPRIT/,sprit/a,F,BRO8: sprita,,"spirituel, ingénieux","witty, quick-witted AK",witzig,dowcipny,остроумный
SPRON/,spron/o,F,,,éperon,spur,Sporn,ostroga,шпора
SPUT/,sput/i,F,,,"cracher, expectorer AK","spit (blood, phlegm, etc.) AK","spucken, speien AK",plwocina,харкать AK
STAB/,stab/o,F,,,état-major,staff-officers,Stab (milit.),sztab,штабъ
STABL/,stabl/o,F,,,"tréteau, chevalet, établi AK","trestle, workman’s bench AK","Staffelei, Gestell AK",warsztat AK,станокъ
STACI/,staci/o,F,BRO4: stacio,,station,"station, depot (railroad) AK",Station,stacya,станція
STACI/DOM/,staci/dom/o,F,,,embarcadère,station (building) AK,Bahnhof,"banhof, dworzec, foksal",вокзалъ
STAL/,stal/o,F,BRO7: stalo,,"écurie, étable AK","stall, shed, stable AK","Stall, Schuppen AK",stajnia,"стойло, сарай"
STAMP/,stamp/o,F,BRO8: stampo,,"estampille, timbre",stamp (with a die) AK,"stempeln, prägen AK",stemplować,класть штемпель
STAN/,stan/o,F,BRO9: stano,,étain,tin,Zinn,cyna,олово
STAN/I,stan/i,F,,,étamer,tin,verzinnen,pobielać,лудить
STANDARD/,standard/o,F,BRO7: standardo,,"drapeau, étendard",flag,"Fahne, Banner AK",sztandar AK,знамя
STANG/,stang/o,F,BRO8: stango,,perche (bois),pole,Stange,drąg,шестъ
STAR/,star/i,F,BRO2: stari,,être debout,stand,stehen,stać,стоять
STAT/,stat/o,F,BRO4: stato,,état (manière d’être),"state, condition","Stand, Zustand",stan,состояніе
STEB/,steb/i,F,,,piquer (couture) AK,stitch (back) (vb.) AK,steppen,stebnować AK,строчить (шить) AK
STEFAN/,Stefan/o,F +7OA,,,,,,,
STEL/,stel/o,F,BRO5: stelo,,étoile,star,Stern,gwiazda,звѣзда
STEP/,step/o,F,,,"lande, steppe AK","steppe, moor AK",Steppe,step,степь
STERK/,sterk/o,F,BRO9: sterko,,"fumier, engrais","dung, manure",Mist,"gnój, nawóz AK",навозъ
STERLED/,sterled/o,F,,,sterlet (poiss.),sterlet (fish),Sterläd,czeczuga,стерлядь
STERN/,stern/i,F,BRO7: sterni,,"étendre, coucher","spread out (on ground, etc.), lay AK","ausbreiten, betten, lagern AK","słać, rozściełać AK",стлать
STERTOR/,stertor/o,F,,,râler,to rattle (in the throat) AK,röcheln,rzężeć,хрипѣть (въ груди)
STIL/,stil/o,F,BRO8: stilo,,style,style,Stil,styl,"стиль, слогъ"
STIP/,stip/o,F,,,genêt,feather-grass (stipa) AK,Pfriemgrass,"trawa piórowa, narduszek",ковыль
STOF/,stof/o,F,,,stofe (mesure),stofe (measure),Stof (Hohlmass),sztof (miara),штофъ
STOMAK/,stomak/o,F,BRO7: stomako,,estomac,stomach,Magen,żołądek,желудокъ
STRAB/,strab/i,F,,,loucher,squint,schielen,zezem patrzeć,косить (глазами)
STRANG/,strang/a,F,BRO6: stranga,,"étrange, bizarre",strange,sonderbar,"dziwny, dziwaczny",странный
STRAT/,strat/o,F,BRO4: strato,,rue,street,Strasse,ulica,улица
STREĈ/,streĉ/i,F,BRO6: streĉi,,"tendre, tirer","stretch, strain AK","spannen, anstrengen","wyprężyć, wytężyć",напрягать
STREK/,strek/o,F,BRO7: streko,,"rayer, biffer",make a line or stroke AK,streichen,kreślić,"проводить черту, черкать AK"
STREK/O,strek/o,F,,,trait,"streak, stroke",Strich,kreska,черта
STRI/,stri/o,F,BRO8: strio,,"bande, raie","stripe, band AK",Streifen,"pas, pręga",полоса
STRIG/,strig/o,F,BRO9: strigo,,hibou,owl,Eule,sowa,сова
STRIK/,strik/i,F,BRO8: striki,,grève,strike (labour) AK,Strike,strejk,"стачка, забастовка AK"
STRUT/,strut/o,F,BRO9: struto,,autruche,ostrich,Strauss (Vogel),struś,страусъ
STUDENT/,student/o,F,BRO8: studento,,étudiant,student (of college etc.) AK,Student,student,студентъ
STUK/,stuk/i,F,,,"couvrir de stuc, crépir",stucco (vb.) AK,stuckaturen,sztukaterya,штукатурить
STUP/,stup/o,F,,,étoupe,tow AK,Hede,pakuły AK,пакля
STURG/,sturg/o,F,,,esturgeon,sturgeon,Stör,jesiotr,осетръ
STURN/,sturn/o,F,,,"étourneau, sansonnet",starling,Star (Vogel),szpak,скворецъ
SUB,sub,F,BRO1: sub,,sous,"under, beneath, below",unter,pod,подъ
SUB/AĈET/,sub/aĉet/i,F,,,corrompre,"suborn, bribe AK",bestechen,przekupyvać,подкупать
SUB/KUŜ/,sub/kuŝ/i,F,,,succomber,succumb,unterliegen,podlegać,"подлегать, подлежать"
SUB/MAJSTR/,sub/majstr/o,F,,,garçon de métier,"journeyman, foreman AK",Handwerksgesell,"podmajstrzy, czeladnik",подмастерье
SUB/TEGMENT/,sub/tegment/o,F,,,galetas,garret,"Boden, Dachstube",poddasze,чердакъ
SUB/TEN/,sub/ten/i,F,,,"étayer, appuyer","prop, stay","unterstützen, halten AK",podtrzymywać,поддерживать
SUBIT/,subit/a,F,BRO6: subita,,"subit, soudain",sudden,plötzlich,nagły,внезапный
SUBJEKT/,subjekt/o,F,BRO9: subjekto,,sujet,subject (gram.) AK,Subject,podmiot,подлежащее
SUBLIMAT/,sublimat/o,F,,,sublimé (chimie) AK,corrosive sublimate AK,Sublimat,sublimat,сулема
SUBSTANTIV/,substantiv/o,F,BRO9: substantivo,,substantif,"noun, substantive",Hauptwort,rzeczownik,существительное
SUĈ/,suĉ/i,F,BRO9: suĉi,,sucer,suck,saugen,ssać,сосать
SUD/,sud/o,F,BRO6: sudo,,sud,south,Süden,południe,югъ
SUFER/,sufer/i,F,BRO4: suferi,,"souffrir, endurer",suffer,leiden,cierpieć,страдать
SUFIĈ/,sufiĉ/a,F,BRO4: sufiĉa,,suffisant,sufficient,genug,"dosyć, dostatecznie","довольно, достаточно"
SUFIKS/,sufiks/o,F +1OA +7OA,,,suffixe,suffix,Suffix,przyrostek,суффиксъ
SUFOK/,sufok/i,F,BRO8: sufoki,,"suffoquer, étouffer",suffocate (trans.) AK,ersticken (act.),"dusić, zadusić",душить
SUK/,suk/o,F,BRO7: suko,,"jus, suc, sève AK","sap, juice",Saft,sok,сокъ
SUKCEN/,sukcen/o,F,,,"succin, ambre joune",amber,Bernstein,bursztyn,янтарь
SUKCES/,sukces/i,F,BRO5: sukcesi,,avoir du succès,succeed AK,"Erfold haben, gelingen AK","mieć powodzenie, sukces",имѣть успѣхъ
SUKER/,suker/o,F,BRO4: sukero,,sucre,sugar,Zucker,cukier,сахаръ
SULFUR/,sulfur/o,F,,,soufre,sulphur,Schwefel,siarka AK,сѣра
SULK/,sulk/o,F,BRO9: sulko,,"sillon, ride AK",furrow,"Furche, Runzel",brózda,"борозда, морщина AK"
SUM/,sum/o,F,BRO5: sumo,,somme,sum,Summe,summa,сумма
SUN/,sun/o,F,BRO3: suno,,soleil,sun,Sonne,słońce,солнце
SUN/FLOR/,sun/flor/o,F,,,tournesol,sunflower AK,Sonnenblume,słonecznik,подсолнечникъ
SUP/,sup/o,F,BRO6: supo,,"soupe, potage",soup,Suppe,zupa,супъ
SUPER,super,F,BRO1: super,,"au-dessus de, sur (sans toucher)","over, above","über, oberhalb","nad, ponad AK",надъ
SUPER/AKV/,super/akv/i,F,,,"inonder, submerger","overflow, deluge",überschwemmen,zalewać,наводнять
SUPER/FLU/,super/flu/a,F,,,superflu,superfluous,überflüssig,zbyteczny,лишній
SUPER/I,super/i,F,,,surpasser,"surpass, excel",übertreffen,przewyższać,превосходить
SUPER/JAR/,super/jar/o,F,,,année bissextile,leap-year AK,Schaltjahr,rok przestępny,високосный годъ
SUPERSTIĈ/,superstiĉ/o,F,,,superstition,superstition,Aberglaube,zabobon,суевѣріе
SUPOZ/,supoz/i,F,BRO7: supozi,,supposer,supose,"vermuten, voraussehen AK","przypuścić, suponować",предполагать
SUPR/,supr/o,F,BRO4: supro,,en haut,upper (adj.),oben,na górze,вверху
SUPR/AĴ/,supr/aĵ/o,F,,,surface,surface,Oberfläche,powierzchnia,поверхность
SUPR/O,supr/o,F,,,"sommet, cime","summit, top AK",Gipfel,"szczyt, wierzchołek",верхушка
SUR,sur,F,BRO1: sur,,sur (en touchant),"upon, on",auf,na,на
SURD/,surd/a,F,BRO6: surda,,sourd,deaf,taub,głuchy,глухой
SURPRIZ/,surpriz/i,F,BRO7: surprizi,,surprendre,surprise,überraschen,"niespodzianka, siurpriza",дѣлать сюрпризъ
SURTUT/,surtut/o,F,BRO9: surtuto,,"redingote, jaquette, etc AK",overcoat AK,Überrock AK,surdut,сюртукъ
SUSPEKT/,suspekt/i,F,BRO8: suspekti,,"suspecter, soupçonner",suspect,"Verdacht hegen, argwöhnen AK",podejrzewać,подозрѣвать
SVAT/,svat/i,F,BRO9: svati,,"rechercher en mariage, s’entremettre",act as matchmaker AK,"freien, werben",swatać,сватать
SVEN/,sven/i,F,BRO8: sveni,,s’évanouir,"faint, swoon AK",in Ohnmacht fallen,omdleć,падать въ обморокъ
SVING/,sving/i,F,BRO8: svingi,,"brandir, agiter AK",swing (trans.) AK,schwingen,machać,махать
ŜAF/,ŝaf/o,F,BRO5: ŝafo,,mouton AK,sheep,Schaf,owca,баранъ
ŜAJN/,ŝajn/i,F,BRO2: ŝajni,,sembler,seem,scheinen,wydawać się,казаться
ŜAK/,ŝak/o,F,,,échecs (jeu),chess,Schach (Spiel) AK,szachy,шахматы
ŜAKAL/,ŝakal/o,F,BRO9: ŝakalo,,chacal,jackal,Schakal,szakal,шакалъ
ŜAL/,ŝal/o,F,,,chàle,shawl,Shawl,szal,шаль
ŜALM/,ŝalm/o,F,,,chalumeau (mus.) AK,reed-pipe AK,Schalmei,fujarka AK,свирѣль
ŜAM/,ŝam/o,F,,,peau de chamois,chamois-leather AK,sämisches Leder,zamsza,замша
ŜANCEL/,ŝancel/i,F,BRO9: ŝanceli,,"faire chanceler, ébranler AK","stagger, cause to totter (trans.) AK","bewegen, wankend machen",chwiać AK,колебать
ŜANĜ/,ŝanĝ/i,F,BRO3: ŝanĝi,,changer,change,"tauschen, wechseln",zmieniać,мѣнять
ŜARG/,ŝarg/i,F,BRO8: ŝargi,,charger (une arme à feu),"load (a gun, etc.)",laden (eine Flinte etc.),nabijać (broń),заряжать (ружье)
ŜARĜ/,ŝarĝ/o,F,BRO6: ŝarĝo,,charger (d’un fardeau) AK,"charge, load","laden, aufladen, belasten","obciąźać, naładować","нагружать, обременять"
ŜARK/,ŝark/o,F,,,requin,"shark, sea-dog",Haifisch,"haja, wilk morski",акула
ŜAT/,ŝat/i,F,BRO5: ŝati,,"estimer, apprécier AK","prize, value AK","schätzen, Wert legen auf AK","cenić, oceniać, szacować","дорожить, ценить AK"
ŜAŬM/,ŝaŭm/o,F,BRO9: ŝaŭmo,,"écume, mousse AK",foam,Schaum,piana,пѣна
ŜEL/,ŝel/o,F,BRO8: ŝelo,,"écorce, coque","shell, peel, bark AK","Schale, Rinde","skorupa, łupina, kora AK","скорлупа, кора"
ŜELK/,ŝelk/o,F,,,bretelle,"braces, suspenders AK",Hosenträger,szelki,подтяжки
ŜERC/,ŝerc/i,F,BRO6: ŝerci,,plaisanter,joke,scherzen,źartować,шутить
ŜI,ŝi,F,BRO1: ŝi,,elle,she,sie (Einzahl),ona,она
ŜI/A,ŝi/a,F,,,"son, sa",her,ihr,jej,ея
ŜILD/,ŝild/o,F,,,bouclier,shield,Schild,"puklerz, tarcza",щитъ
ŜILLER/,Ŝiller/o,F +7OA,,,,,,,
ŜIM/,ŝim/i,F,,,se moisir,grow mouldy AK,schimmeln,pleśnieć,плѣснѣть
ŜIND/,ŝind/o,F,,,"bardeau, échandole",shingle (roofing) AK,Schindel,gont,гонтъ
ŜINK/,ŝink/o,F,BRO9: ŝinko,,jambon,ham AK,Schinken,szynka AK,ветчина
ŜIP/,ŝip/o,F,BRO4: ŝipo,,navire,ship,Schiff,okręt,корабль
ŜIR/,ŝir/i,F,BRO6: ŝiri,,"déchirer, arracher AK","tear, rend",reissen,rwać,рвать
ŜIRM/,ŝirm/i,F,BRO7: ŝirmi,,"couvrir, protéger","protect, screen AK","beschirmen, schützen AK","zasłaniać, chronić AK",заслонять
ŜLIM/,ŝlim/o,F,,,"limon, bourbe","slime, mire, mud",Schlamm,"muł, szlam","илъ, тина"
ŜLOS/,ŝlos/i,F,BRO5: ŝlosi,,fermer à clef,"lock, fasten",schliessen,zamykać na klucz,запирать на ключъ
ŜLOS/IL/,ŝlos/il/o,F,,,clef,key,Schlüssel,klucz,ключъ
ŜMAC/,ŝmac/i,F,,,baiser bruyamment AK,kiss loudly (with a smack) AK,schmatzen,czmokać,чмокать
ŜMIR/,ŝmir/i,F,BRO8: ŝmiri,,"oindre, graisser","spread, smear AK",schmieren,smarować,мазать
ŜNUR/,ŝnur/o,F,BRO6: ŝnuro,,corde,string,Strick,"sznur, powróz",веревка
ŜO,ŝo,F +7OA,,"ŝo. Nomo de la litero ŝ, dudektria litero de la Esperanta alfabeto.",,,,,
ŜOV/,ŝov/i,F,BRO8: ŝovi,,"pousser, mener","thrust, shove AK",schieben,suwać,совать
ŜOVEL/,ŝovel/i,F,BRO6: ŝoveli,,enlever avec une pelle,shovel AK,schaufeln,szuflować AK,сгребать (лопатой)
ŜPAR/,ŝpar/i,F,BRO7: ŝpari,,"ménager, épargner","save, be sparing of AK",sparen,oszczędzać,сберегать
ŜPIN/,ŝpin/i,F,BRO9: ŝpini,,filer,spin,spinnen,prząść,прясть
ŜPRUC/,ŝpruc/i,F,BRO9: ŝpruci,,jaillir,"spirt, gush (intr.) AK",spritzen,tryskać AK,брызгать
ŜRANK/,ŝrank/o,F,BRO6: ŝranko,,armoire,cupboard,Schrank,szafa,шкафъ
ŜRAŬB/,ŝraŭb/o,F,BRO8: ŝraŭbo,,vis,screw,Schraube,szruba,винтъ
ŜTAL/,ŝtal/o,F,BRO8: ŝtalo,,acier,steet,Stahl,stal,сталь
ŜTAT/,ŝtat/o,F,BRO5: ŝtato,,État,State,Staat,stan (państwo),штатъ
ŜTEL/,ŝtel/i,F,BRO5: ŝteli,,"voler, dérober",steal,stehlen,kraść,красть
ŜTIP/,ŝtip/o,F,BRO9: ŝtipo,,"bloc, billot","block, log",Klotz,"kloc, pniak","колода, чурбанъ"
ŜTOF/,ŝtof/o,F,BRO8: ŝtofo,,"matière, étoffe AK",stuff AK,Stoff,sztof (miara),"вещество, матерія"
ŜTON/,ŝton/o,F,BRO4: ŝtono,,pierre,stone,Stein,kamień,камень
ŜTOP/,ŝtop/i,F,BRO7: ŝtopi,,boucher,"stop up, bung up AK",stopfen,zatykać,затыкать
ŜTRUMP/,ŝtrump/o,F,BRO6: ŝtrumpo,,bas (vêtement),stocking,Strumpf,pończocha,чулокъ
ŜTUP/,ŝtup/o,F,BRO5: ŝtupo,,"marche, échelon",tow (subst.) AK,Stufe,stopień,ступень
ŜTUP/AR/,ŝtup/ar/o,F,,,"escalier, échelle","staircase, ladder AK","Treppe, Leiter","schody, drabina",лѣстница
ŜU/,ŝu/o,F,BRO6: ŝuo,,soulier,shoe,Schuh,trzewik,башмакъ
ŜULD/,ŝuld/i,F,BRO7: ŝuldi,,devoir (dette),owe,schulden,być dłużnym,быть должным (должником) AK
ŜULTR/,ŝultr/o,F,BRO7: ŝultro,,épaule,shoulder AK,Schulter,"ramię, barki AK",плечо
ŜUT/,ŝut/i,F,BRO8: ŝuti,,"verser, répandre (pas pour les liquides)",pour out (solids) AK,schütten,sypać,сыпать
ŜVEL/,ŝvel/i,F,BRO7: ŝveli,,enfler,swell,schwellen,"puchnąć, nabrzmiewać AK",пухнуть
ŜVIT/,ŝvit/o,F,BRO7: ŝvito,,"suer, transpirer AK",perspire,schwitzen,pocić się,потѣть
TABAK/,tabak/o,F,BRO7: tabako,,tabac,tobacco,Tabak,tytóń,табакъ
TABAN/,taban/o,F,,,taon,gad-fly,Bremse (Fliege),giez,слѣпень
TABEL/,tabel/o,F,BRO7: tabelo,,"table, liste","table, index",Tabelle,tabelka,таблица
TABL/,tabl/o,F,BRO3: tablo,,table (meuble) AK,table,Tisch,stół,столъ
TABUL/,tabul/o,F,BRO6: tabulo,,planche,"board, plank, tablet AK","Tafel, Brett","deska, tablica",доска
TAĈMENT/,taĉment/o,F,,,détachement (milit.) AK,detachment (troops) AK,"Abtheilung, Detachement",oddział (wojska) AK,отрядъ
TAFT/,taft/o,F,,,taffetas,taffeta (material) AK,Taffet,kitajka,тафта
TAG/,tag/o,F,BRO2: tago,,jour,day,Tag,dzień,день
TAG/MANĜ/,tag/manĝ/i,F,,,dîner,dine,zu Mittag essen,obiadować,обѣдать
TAG/MEZ/,tag/mez/o,F,,,midi,mid-day,Mittag,poludnie,полдень
TAJLOR/,tajlor/o,F,BRO8: tajloro,,tailleur,tailor,Schneider,krawiec,портной
TAKS/,taks/i,F,BRO7: taksi,,taxer,"tax, appraise","abschätzen, taxiren",taksować,оцѣнивать
TALENT/,talent/o,F,,,talent,talent,Talent,talent,талантъ
TALI/,tali/o,F,BRO9: talio,,taille,"figure, waist, stature AK",Taille,"talia, figura","стан, талия AK"
TALP/,talp/o,F,,,taupe,mole (animal),Maulwurf,kret,кротъ
TAMBUR/,tambur/o,F,,,tambour,drum,Trommel,bęben,барабанъ
TAMBUR/I,tambur/i,F,,,battre le tambour,beat (drum) AK,trommeln,bębnić,барабанить
TAMEN,tamen,F,BRO1: tamen,,"pourtant, néanmoins","however, nevertheless","doch, jedoch",jednak,однако
TAN/,tan/i,F,,,tanner,tan,gärben,"garbować, wyprawiać (skóry)",дубить
TAPET/,tapet/o,F,BRO9: tapeto,,"tapisserie, tenture, papier peint AK","wall-paper, paper-hangings AK",Tapete,"obicia, tapety",обои
TAPIŜ/,tapiŝ/o,F,BRO7: tapiŝo,,tapis,carpet,Teppich,dywan,коверъ
TAS/,tas/o,F,BRO6: taso,,tasse,cup,Tasse,filiżanka,чашка
TAŬG/,taŭg/a,F,BRO6: taŭga,,"être bon pour..., convenir pour...",be fit for,taugen,być zdatnym,годиться
TAVOL/,tavol/o,F,,,"couche, rangée","layer, stratum AK","Schicht, Scheibe",warstwa,слой
TE/,te/o,F,BRO6: teo,,thé,tea,Thee,herbata,чай
TE/KRUĈ/,te/kruĉ/o,F,,,théière,tea-pot,Theekanne,czajnik,чайникъ
TE/MAŜIN/,te/maŝin/o,F,,,bouilloire,tea-kettle,Theemaschine,samowar,самоваръ
TEATR/,teatr/o,F +1OA +7OA,BRO8: teatro,,théâtre,theatre,Theater,teatr,театръ
TED/,ted/i,F,BRO8: tedi,,"provoquer la satiété, importuner, obséder AK","bore, weary, annoy AK","lästig sein, Überdruss erregen AK",naprzykrzać AK,надоѣдать
TEG/,teg/i,F,BRO8: tegi,,"mettre par-dessus, couvrir",cover (wholly) (vb.) AK,"beziehen, überziehen",powłóczyć,"натягивать (сверху), обтягивать AK"
TEG/O,teg/o,F,,,taie,"covering, slip AK",Ueberzug,powłoczka,наволочка
TEGMENT/,tegment/o,F,BRO6: tegmento,,toit,roof,Dach,dach,крыша
TEKS/,teks/i,F,BRO7: teksi,,tisser,weave,weben,tkać,ткать
TEKST/,tekst/o,F +1OA +8OA,BRO9: teksto,,texte,text,Text,tekst,текстъ
TELEGRAF/,telegraf/o,F +1OA +7OA,BRO7: telegrafo,,télégraphe,telegraph,Telegraph,telegraf,телеграфъ
TELER/,teler/o,F,BRO5: telero,,assiette,plate,Teller,talerz,тарелка AK
TEM/,tem/o,F,BRO7: temo,,"thème, sujet, donnée, matière à traiter AK","theme, topic AK",Thema,temat AK,тема AK
TEMP/,temp/o,F,BRO2: tempo,,temps (durée),time,Zeit,czas,время
TEMPI/,tempi/o,F,,,tempe,temple (of forehead),Schläfe,skroń,високъ
TEN/,ten/i,F,BRO2: teni,,tenir,"hold, grasp",halten,trzymać,держать
TEN/IL/,ten/il/o,F,,,"manche, anse","handle, haft AK","Stiel, Griftf",rączka,рукоятка
TEND/,tend/o,F,BRO8: tendo,,"tente, pavillon",tent AK,Zelt,namiot,палатка
TENDEN/,tenden/o,F,,,tendon,tendon,Sehne,"ścięgno, cięciwa AK","тетива, сухожиліе"
TENT/,tent/i,F,BRO7: tenti,,tenter,tempt AK,in Versuchung führen AK,kusić,искушать
TEODOR/,Teodor/o,F +7OA,,,,,,,
TEORI/,teori/o,F +1OA +7OA,BRO8: teorio,,théorie,theory,Theorie,teorja,теорія
TER/,ter/o,F,BRO2: tero,,terre,earth,Erde,ziemia,земля
TER/KOL/,ter/kol/o,F,,,isthme,isthmus,Landenge,przesmyk AK,перешеекъ
TER/POM/,ter/pom/o,F,BRO7: terpomo,,pomme de terre,potato AK,Kartoffel,kartofel,картофель
TERAS/,teras/o,F,BRO9: teraso,,terrasse,terrace,Terasse,taras,терраса AK
TEREBINT/,terebint/o,F,,,térébenthine,turpentine,Terpentin,terpentyna,терпентинъ
TERMIN/,termin/o,F,,,terme,"term, technical name AK","Terminus, Fachausdruck AK",termin,терминъ
TERN/,tern/i,F,BRO9: terni,,éternuer,sneeze,niesen AK,kichać,чихать
TERUR/,terur/o,F,BRO5: teruro,,"terreur, effroi","terror, horror, fright AK",Schrecken,przerażenie,ужасъ
TESTAMENT/,testament/o,F,,,testament,"will, testament AK",Testament,testament,завѣщаніе
TESTIK/,testik/o,F,,,testicule,testicle,Hode AK,jądro AK,яичко (анатом.)
TESTUD/,testud/o,F,BRO9: testudo,,tortue,tortoise,Schildkröte,żółw,черепаха
TETAN/,tetan/o,F,,,tetanos,tetanus,Starrkrampf,tężec,столбнякъ
TETR/,tetr/o,F,,,"tétras, coq de bruyère",grouse,Birkhuhn AK,cietrzew,тетеревъ
TETRA/,tetra/o,F,,,gélinotte de bois,hazel-hen,Waldhuhn AK,jarząbek,рябчикъ
TEZ/,tez/o,F,,,thèse,"thesis, proposition AK","Satz, Thesis",teza,"положеніе, тезисъ"
TIA,tia,F,BRO1: tia,,tel,such,solcher,taki,такой
TIAL,tial,F,BRO1: tial,,c’est pourquoi,therefore,"darum, deshalb",dla tego,потому
TIAM,tiam,F,BRO1: tiam,,alors,then,dann,wtedy,тогда
TIBI/,tibi/o,F,,,"os de la jambe, tibia",shin bone,Schienbein,goleń,большая берцовая кость AK
TIE,tie,F,BRO1: tie,,"là-bas, là, y",there,dort,tam,тамъ
TIEL,tiel,F,BRO1: tiel,,"ainsi, de cette manière","thus, so",so,tak,такъ
TIES,ties,F +7OA,BRO9: ties,ties. Apartenanta al tiu.,,,,,
TIGR/,tigr/o,F,BRO9: tigro,,tigre,tiger,Tiger,tygrys,тигръ
TIKL/,tikl/i,F,BRO9: tikli,,chatouiller,tickle,kitzeln,łechtać,щекотать
TILI/,tili/o,F,,,tilleul,lime-tree,Linde,lipa,липа
TIM/,tim/i,F,BRO3: timi,,craindre,fear,fürchten,obawiać się,бояться
TIMIAN/,timian/o,F,,,thym,thyme,Thymian,macierzanka,ѳиміамъ
TIMON/,timon/o,F,,,timon,"shaft, pole AK",Deichsel,dyszel,дышло
TINE/,tine/o,F,,,teigne,moth,Motte,mól,моль
TINT/,tint/i,F,BRO9: tinti,,tinter,"chink, clank, jingle",klirren,brząkać,бряцать
TIO,tio,F,BRO1: tio,,cela,that (thing) AK,"das, jenes","to, tamto","то, это"
TIOM,tiom,F,BRO1: tiom,,"autant, tant",so much,so viel,tyle,столько
TIR/,tir/i,F,BRO3: tiri,,tirer,"draw, pull, drag",ziehen,ciągnąć,тянуть
TIR/KEST/,tir/kest/o,F,,,tiroir,drawer,Schublade,szuflada,выдвижной ящикъ
TITOL/,titol/o,F,BRO7: titolo,,titre,title,Titel,tytuł,титулъ
TIU,tiu,F,BRO1: tiu,,celui-là,that (one) (person or thing) AK,jener,tamten,тотъ
TO,to,F +7OA,,"to. Nomo de la litero t, dudekkvara litero de la Esperanta alfabeto.",,,,,
TOL/,tol/o,F,BRO6: tolo,,toile,linen (mat.) AK,Leinwand,płótno,полотно
TOL/AĴ/,tol/aĵ/o,F,,,linge,underlinen (washing) AK,Wäsche,bielizna,бѣлье
