Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse,Hispane,Itale,Katalune,Portugale
SKORPI/,skorpi/o,F,BRO9: skorpio,,scorpion,scorpion,Scorpion,niedźwiadek,скорпіонъ,,,,
SKORZONER/,skorzoner/o,2OA,,,scorsonère,black salsify,Schwarzwurzel,,,,,,
SKRAP/,skrap/i,F,BRO6: skrapi,,"râcler, ratisser","shave, scrape",schaben,skrobać,скоблить,,,,
SKRIB/,skrib/i,F,BRO2: skribi,,écrire,write,schreiben,pisać,писать,,,,
SKROFOL/,skrofol/o,F,,,scrofules,scrofula,Scropheln,"skrofuły, zołzy",золотуха,,,,
SKRUPUL/,skrupul/o,2OA,,,,,,,,,,,
SKU/,sku/i,F,BRO8: skui,,secouer,shake (trans.)  AK,schütteln,trząść,трясти,,,,
SKULPT/,skulpt/i,F,BRO7: skulpti,,sculpter,sculpture,"aushauen, schnitzen",rzeźbić,ваять,,,,
SKULPT/IL/,skulpt/il/o,F,,,ciseau,chisel,Meissel,dłóto,рѣзецъ,,,,
SKURĜ/,skurĝ/o,F,,,"fouet, martinet, knout, verges  AK",scourge,Knute  AK,"bicz, nahajka",нагайка,,,,
SKVAM/,skvam/o,F,,,écaille (de poisson),scale (fish etc.),Schuppe,łuska,чешуя,,,,
SLED/,sled/o,8OA,BRO9: sledo,"sled/o. Veturilo, provizita per glitiloj anstataŭ radoj, uzata por transporti ŝarĝojn aŭ homojn, tirata de ĉevaloj, hundoj, boacoj, aŭ puŝata de homo.","traîneau, (schlitte)","sled, sledge, sleigh",Schlitten,,,trineo,slitta,,trenó
SLIP/,slip/o,5OA,,"slip/o. Kartona aŭ papera folieto, facile ordigebla, sur kiun oni skribas iun noton.",fiche (de classement),"slip, card (for index)",(Kartei-)Zettel,kartka,,ficha (cédula de cartulina o papel),scheda,,
SMERALD/,smerald/o,F,,,émeraude,emerald,Smaragd,szmaragd,смарагдъ,,,,
SO,so,F +7OA,,"so. Nomo de la litero s, dudekdua litero de la Esperanta alfabeto.",,,,,,,,,
SOBR/,sobr/a,F,BRO8: sobra,,sobre,sober,nüchtern,trzeźwy,трезвый,,,,
SOCI/,soci/o,3OA,BRO7: socio,,"corps social, société, collectivité","social body, community",Gemeinwesen,społeczeństwo  (noto),,comunidad,"corpo sociale, società, collettività",,"communidade, congregação"
SOCIAL/,social/a,2OA,BRO9: sociala,,,,,,,,,,
SOCIET/,societ/o,F,BRO7: societo,,société,society,Gesellschaft,"społeczeństwo, towarzystwo",общество,,,,
SOCIOLOG/,sociolog/o,3OA,,,sociologue,sociologist,Sociolog,,,sociólogo (noto),sociologo,,sociologo
SOCIOLOGI/,sociologi/o,1OA,,,sociologie,sociology,Soziologie,socjologja,соціологія,,,,
SOD/,sod/o,1OA,,,soude,soda,Soda,soda,сода,,,,
SOF/,sof/o,F,BRO9: sofo,,sofa,sofa,Sofa,sofa,софа,,,,
SOFI/,Sofi/o,F +7OA,,,,,,,,,,,
SOFISM/,sofism/o,F +1OA +7OA,,,sophisme,sophism,Sophismus,sofizmat,софизмъ,,,,
SOFIST/,sofist/o,1OA,,,sophiste,sophist,Sophist,sofista,софистъ,,,,
SOIF/,soif/i,F,BRO6: soifi,,avoir soif,thirst,dursten,"pragnąć, doznawać pragnienia",жаждать,,,,
SOJL/,sojl/o,F,BRO8: sojlo,,seuil,threshold,Schwelle,próg,порогь,,,,
SOKL/,sokl/o,2OA,,,,,,,,,,,
SOL/,sol/a,F,BRO3: sola,,seul,"only, alone","einzig, allein","jedyny, sam  AK","единственный, один  AK",,,,
SOLD/,sold/o,2OA,,,sou,halfpenny,Sou (Münze),,,,,,
SOLDAT/,soldat/o,F,BRO6: soldato,,soldat,soldier,Soldat,"żolnierz, sołdat",солдатъ,,,,
SOLE/,sole/o,1OA,,,sole,sole (fish),Seezunge,język (ryba),скоба (рыба),,,,
SOLECISM/,solecism/o,2OA,,,,,,,,,,,
SOLEN/,solen/a,F,BRO9: solena,,solennel,solemn,feierlich,"uroczysty, solenny",торжественный,,,,
SOLID/ (fiz. geom.),solid/o,2OA,BRO7: solido,,,,,,,,,,
SOLIDAR/,solidar/a,1OA,BRO9: solidara,,solidaire,jointly liable,solidarisch,solidarny,солидарный,,,,
SOLIST/,solist/o,1OA,,,soliste,soloist,Solist,solista,солистъ,,,,
SOLV/,solv/i,F,BRO7: solvi,,"résoudre, dissoudre  AK",dissolve  AK,"lösen, auflösen  AK",rozwiązać,"растворять в жидкости; решать задачу, загадку  AK",,,,
SOLVENT/,solvent/a,4OA,,,solvable,solvent (fin.),"solvent, zahlungsfähig",,,solvente,solubile,solvent,"solvente, que paga"
SOMER/,somer/o,F,BRO4: somero,,été,summer,Sommer,lato,лѣто,,,,
SOMNAMBUL/,somnambul/o,1OA,,,somnambule,somnambulist,Somnambule,lunatyk,лунатикъ,,,,
SON/,son/i,F,BRO3: soni,,"sonner, rendre des sons, résonner",sound (intr.)  AK,"tönen, klingen  AK",brzmieć,звучать,,,,
SON/SERPENT/,son/serpent/o,F,,,serpent à sonnettes,rattle-snake,Klapperschlange,grzechotnik,гремучая змѣя,,,,
SONAT/,sonat/o,1OA,,,sonate,sonata,Sonate,sonata,соната,,,,
SOND/,sond/i,3OA,,,sonder,to sound,sondieren,sondować (noto),,sondar,"sondare, indagare, scandagliare",,sondar
SONET/,sonet/o,1OA,,,sonnet,sonnet,Sonett,sonet,сонетъ,,,,
SONĜ/,sonĝ/i,F,BRO7: sonĝi,,"songe, rêve  AK",dream,träumen,śnić,видѣть во снѣ,,,,
SONOR/,sonor/o,F,BRO7: sonoro,,"tinter, sonner, résonner  AK",give out a sound (as a bell),"läuten, hallen  AK","dzwonić, brzęczeć  AK",звенѣть,,,,
SOPIR/,sopir/i,F,BRO8: sopiri,,soupirer après,"long for, yearn  AK","sich sehnen, seufzen  AK","tęsknić, wzdychać  AK",тосковать,,,,
SOPRAN/,sopran/o,F,,,soprano  AK,"soprano, treble  AK",Sopran (weibliche) Oberstimme  AK,"sopran, dyszkant","дискант, сопрано  AK",,,,
SORB/,sorb/i,F,BRO9: sorbi,,"humer, absorber, s’imprégner de  AK","absorb, sip  AK","schlürfen, einsaugen  AK","chlipać, wchłaniać  AK","всасывать, хлебать  AK",,,,
SORĈ/,sorĉ/i,F,BRO8: sorĉi,,"pratiquer la magie, la sorcellerie",practise witchcraft  AK,zaubern,czarować,колдовать,,,,
SORG/,sorg/o,8OA,BRO9: sorgo,"sorg/o. Grava greno, multe kulturata en varmaj sekaj regionoj por produktado de faruno, sukero, siropo, alkolholo ktp. (Latine: ""Andropogon sorghum"").","sorgho, sorgum",sorghum,"Sorghum, Mohrenhirse",,,sorgo,sorgo,,sorgo
SORIK/,sorik/o,F,,,musaraigne,shrew-mouse,Spitzmaus,kretomysz,землеройка,,,,
SORP/,sorp/o,F,,,sorbe,sorb (sorb-apple)  AK,Ebereschenbeere,jarzębina,рябина,,,,
SORT/,sort/o,F,BRO6: sorto,,"sort, destinée","fate, lot",Schicksal,los,судьба,,,,
SORTIMENT/,sortiment/o,2OA,,,assortiment,assortment,Sortiment,,,,,,
SOVAĜ/,sovaĝ/a,F,BRO8: sovaĝa,,sauvage,"wild, savage",wild,dziki,дикій,,,,
SPAC/,spac/o,F,BRO7: spaco,,espace,"room, space",Raum,przestrzeń,пространство,,,,
SPAD/,spad/o,1OA,,,épée,sword,Degen,szpada,шпага,,,,
SPALIR/,spalir/o,F,,,espalier,espalier,Spalier,szpaler,шпалера  AK,,,,
SPASM/,spasm/o,2OA,,,,,,,,,,,
SPAT/,spat/o,F,,,"éparvin, spath",spar (min.)  AK,Spath,spat,шпатъ,,,,
SPEC/,spec/o,F,BRO4: speco,,espèce,"kind, species","Art, Gattung","rodzaj, gatunek","родъ, сортъ",,,,
SPECIAL/,special/a,F +1OA +7OA,BRO6: speciala,,spécial,special,"speziell, Spezial-",specjalny,спеціальный,,,,
SPECIF/,specif/i,9OA,,"specif/i. Nome esprimi, detale difini, precize mencii: specifi postulojn; specifi regulojn; specifi celojn. specif/a. Havanta ecojn karakterizajn aŭ unikajn por unu individuo aŭ unu klaso; propra al individuo aŭ klaso: la specifa stilo de pentristo (la stilo karakterizas ĝuste tiun pentriston); la specifaj formoj de unu klaso de bestoj (nur tiu klaso havas tiujn formojn).",,,,,,,,,
SPECIMEN/,specimen/o,1OA,BRO9: specimeno,,spécimen,specimen,Probemuster,próbka,образецъ,,,,
SPEGUL/,spegul/o,F,BRO6: spegulo,,miroir,looking-glass,Spiegel,zwierciadło,зеркало,,,,
SPEKT/,spekt/i,9OA,,"spekt/i. Atenti per vido, kaj eventuale ankaŭ per aŭdo, tion, kio estas prezentata: spekti filmon; spekti operon; spekti teatraĵon; spekti baleton; spekti sportan festivalon.",,,,,,,,,
SPEKTAKL/,spektakl/o,1OA,BRO9: spektaklo,,spectacle,spectacle,"Anblick, Schauspiel, Vorstellung","przedstawienie, widowisko",спектакль,,,,
SPEKTR/ (fiziko),spektr/o,2OA,,,,,,,,,,,
SPEKULACI/ (noto),spekulaci/i,3OA,,,"spéculation (commerce, finance)",speculation,Spekulation,spekulacja,,especulación (noto),speculazione,,especulação (noto)
SPEKULATIV/,spekulativ/a,3OA,,,spéculatif,speculative,spekulativ,spekulatywny,,especulativo,speculativo,,especulativo
SPERM/,sperm/o,2OA,,,,,,,,,,,
SPERT/,spert/a,F,BRO6: sperta,,expérimenté,experienced  AK,"erfahren, bewandert",doświadczony,опытный,,,,
SPEZ/,spez/i,F,BRO6: spezi,,virement,"turnover (money), exchange  AK",Umsatz,obrót,оборот (в торговле)  AK,,,,
SPIC/,spic/o,F,BRO6: spico,,épice,spice,Gewürz,"przyprawa, korzenie",пряность,,,,
SPIK/,spik/o,F,BRO9: spiko,,épi,"ear head (of corn, etc.)",Aehre,kłos,колосъ,,,,
SPIN/,spin/o,F,,,"épine dorsale, échine  AK","spine, back-bone",Rückgrat,grzbiet,хребетъ,,,,
SPINAC/,spinac/o,F,BRO9: spinaco,,épinards,spinach,Spinat,szpinak,шпинатъ,,,,
SPION/,spion/o,F,,,espion,spy (a)  AK,Spion,szpieg,шпіонъ,,,,
SPIR/,spir/i,F,BRO5: spiri,,respirer,breathe,athmen,oddychać,дышать,,,,
SPIRAL/,spiral/o,1OA,,,spirale,spiral,Spirale,linja spiralna,спираль,,,,
SPIRIT/,spirit/o,F,BRO5: spirito,,esprit,spirit,Geist,duch,духъ,,,,
SPIRITIST/,spiritist/o,1OA,,,spirite,spiritist,Spiritist,spirytysta,спиритистъ,,,,
SPIRITUALISM/,spiritualism/o,2OA,,,,,,,,,,,
SPIRITUALIST/,spiritualist/o,2OA,,,,,,,,,,,
SPIT/,spit/i,F,BRO9: spiti,,en dépit de,in spite of,"trotz (dem, der usw)  AK",na przekór,"вопреки, наперекор  AK",,,,
SPLEN/,splen/o,4OA,,splen/o. Malsana stato de la animo karakterizata per konstanta enuo kaj indiferenteco al ĉio.,spleen,spleen,Spleen,,,"spleen, aburrimiento","spleen, melanconia acuta","spleen, malaltia de la melsa","tédio, melancolia"
SPLIT/,split/o,3OA,BRO9: splito,,"écharde, esquille, éclat, fragment",splinter,Splitter,drzazga,,astilla,scheggia,,"farpa, cavaco"
SPONDE/ (versf.),sponde/o,2OA,,,,,,,,,,,
SPONG/,spong/o,F,BRO9: spongo,,éponge,sponge,Schwamm,gąbka,губка,,,,
SPONTANE/,spontane/a,3OA,,,spontané,spontaneous,spontan,spontaniczny,,espontáneo (noto),spontaneo,,espontaneo
SPORT/,sport/o,1OA,BRO8: sporto,,sport,sport,Sport,sport,спортъ,,,,
SPRIT/,sprit/a,F,BRO8: sprita,,"spirituel, ingénieux","witty, quick-witted  AK",witzig,dowcipny,остроумный,,,,
SPRON/,spron/o,F,,,éperon,spur,Sporn,ostroga,шпора,,,,
SPUR/,spur/o,8OA,BRO9: spuro,"spur/o. Postlasita enpremo, marko, signo, dank’ al kiu eblas diveni, kien iu aŭ io pasis, aŭ kion iu faris, aŭ kio (fizike) okazis.","trace, empreinte, vestige, indice","spoor, footprint, track, trace, trail",Spur,,,"huella, pisada, impresión, indicio","traccia, orma, indicio",,indício
SPUT/,sput/i,F,,,"cracher, expectorer  AK","spit (blood, phlegm, etc.)  AK","spucken, speien  AK",plwocina,харкать  AK,,,,
STAB/,stab/o,F,,,état-major,staff-officers,Stab (milit.),sztab,штабъ,,,,
STABIL/,stabil/a,9OA,,"stabil/a 1 Ema firme restadi en sama pozicio aŭ stato: stabila konstruaĵo; stabila situacio; stabila paco; stabila solvaĵo; stabila elemento. 2 Ŝanĝiĝanta aŭ evoluanta (nedraste kaj ne tro rapide) en glata, unudirekta, ekvilibra kaj antaŭvidebla maniero: stabila kresko; stabila evoluo; stabila ekonomio.",,,,,,,,,
STABL/,stabl/o,F,,,"tréteau, chevalet, établi  AK","trestle, workman’s bench  AK","Staffelei, Gestell  AK",warsztat  AK,станокъ,,,,
STACI/,staci/o,F,BRO4: stacio,,station,"station, depot (railroad)  AK",Station,stacya,станція,,,,
STACI/DOM/,staci/dom/o,F,,,embarcadère,station (building)  AK,Bahnhof,"banhof, dworzec, foksal",вокзалъ,,,,
STADI/,stadi/o,1OA,BRO9: stadio,,étape,stage,Stadium,stadjum,стaдія,,,,
STADION/,stadion/o,8OA,BRO9: stadiono,"stadion/o. Loko, destinita kaj taŭge aranĝita por atletaj aŭ sportaj ekzercoj kaj konkursoj, kun multaj ŝtupaj vicoj da sidlokoj por la publiko.",stade (sport),stadium,"Stadion, Sportplatz",,,estadio (deporte),stadio,,"estádio, campo (de esportes)"
STAGN/,stagn/i,9OA,,"stagn/i 1 (pri likvo) Restadi senflua (kaj tial fariĝi malpura kaj malagrabla): akvo stagnis en truoj ĉe la flanko de la vojo. 2 (pri agadkampo, entrepreno k.s.) Restadi senmova, senaga, malaktiva, ne evoluanta, ne progresanta k.s.: la komerco stagnas; la ekonomio stagnis; la movado stagnis; la membronombro stagnas.",,,,,,,,,
STAL/,stal/o,F,BRO7: stalo,,"écurie, étable  AK","stall, shed, stable  AK","Stall, Schuppen  AK",stajnia,"стойло, сарай",,,,
STALAGMIT/,stalagmit/o,2OA,,,,,,,,,,,
STALAKTIT/,stalaktit/o,2OA,,,,,,,,,,,
STAMEN/,stamen/o,4OA,BRO9: stameno,stamen/o. Virseksa organo de la floroj.,étamine (bot.),stamen (bot.),Staubfaden,,,estambre (bot.),stame,estam (noto),estame
STAMP/,stamp/o,F,BRO8: stampo,,"estampille, timbre",stamp (with a die)  AK,"stempeln, prägen  AK",stemplować,класть штемпель,,,,
STAN/,stan/o,F,BRO9: stano,,étain,tin,Zinn,cyna,олово,,,,
STAN/I,stan/i,F,,,étamer,tin,verzinnen,pobielać,лудить,,,,
STANDARD/,standard/o,F,BRO7: standardo,,"drapeau, étendard",flag,"Fahne, Banner  AK",sztandar  AK,знамя,,,,
STANG/,stang/o,F,BRO8: stango,,perche (bois),pole,Stange,drąg,шестъ,,,,
STAR/,star/i,F,BRO2: stari,,être debout,stand,stehen,stać,стоять,,,,
START/,start/i,8OA,BRO9: starti,start/i. (netransitiva) 1. Komenci sportan agadon en konkuro. 2. (parolante pri motoro ks.) Ekfunkcii.,"1/ partir (coureur), démarrer, prendre le départ, 2/démarrer","to start (in a race etc., intr.), 2.to start up (intr.)",1/2/ starten,,,"1/arrancar, salir, emprender la marcha, 2/arrancar","1/partire, prendere il via, 2/avviarsi",,"1/arrancar, partir, pôr-se em marcha, 2/pôr-se em movimento"
STAT/,stat/o,F,BRO4: stato,,état (manière d’être),"state, condition","Stand, Zustand",stan,состояніе,,,,
STATISTIK/,statistik/o,1OA,,,statistique,statistics,Statistik,statystyka,стaтистика,,,,
STATU/,statu/o,1OA,BRO9: statuo,,statue,statue,Statue,posąg,статуя,,,,
STATUR/,statur/o,1OA,BRO9: staturo,,stature,stature,"Statur, Gestalt","statura, postawa","станъ, осанка",,,,
STATUT/,statut/o,9OA,,statut/o. Fundamenta regularo de organizaĵo.,,,,,,,,,
STEARIN/,stearin/o,1OA,,,stéarine,stearine,Stearin,stearyna,стеаринъ,,,,
STEB/,steb/i,F,,,piquer (couture)  AK,stitch (back) (vb.)  AK,steppen,stebnować  AK,строчить (шить)  AK,,,,
STEFAN/,Stefan/o,F +7OA,,,,,,,,,,,
STEL/,stel/o,F,BRO5: stelo,,étoile,star,Stern,gwiazda,звѣзда,,,,
STENOGRAF/,stenograf/i,3OA,,,sténographier,to stenograph,stenographieren,stenografować (noto),,estenografiar (noto),stenografare,,estenographar
STENOGRAFI/,stenografi/o,3OA,,,sténographie,stenography,Stenographie,stenografja,,estenografía (noto),stenografia,,estenographia
STEP/,step/o,F,,,"lande, steppe  AK","steppe, moor  AK",Steppe,step,степь,,,,
STEREOFONI/,stereofoni/o,9OA,,"stereofoni/o. Sontekniko, kiu uzas du kanalojn por aŭdigi sonon, kaj kiu tiel kapablas krei impreson de multaj dise situantaj sonfontoj.",,,,,,,,,
STERK/,sterk/o,F,BRO9: sterko,,"fumier, engrais","dung, manure",Mist,"gnój, nawóz  AK",навозъ,,,,
STERLED/,sterled/o,F,,,sterlet (poiss.),sterlet (fish),Sterläd,czeczuga,стерлядь,,,,
STERN/,stern/i,F,BRO7: sterni,,"étendre, coucher","spread out (on ground, etc.), lay  AK","ausbreiten, betten, lagern  AK","słać, rozściełać  AK",стлать,,,,
STERTOR/,stertor/o,F,,,râler,to rattle (in the throat)  AK,röcheln,rzężeć,хрипѣть (въ груди),,,,
STIL/,stil/o,F,BRO8: stilo,,style,style,Stil,styl,"стиль, слогъ",,,,
STIMUL/,stimul/i,2OA,,,stimuler,to stimulate,anregen,,,,,,
STIP/,stip/o,F,,,genêt,feather-grass (stipa)  AK,Pfriemgrass,"trawa piórowa, narduszek",ковыль,,,,
STIPENDI/,stipendi/o,4OA,,,bourse d’études,"scholarship, study-allowance, bursary","amtliche Geldunterstützung für Schüler, Stipendium",,,"beca (univ.), subvención, pensión gratuita",borsa di studio,"borsa d’estudis, beca, subvenció","estipendio, soldada"
STIR/,stir/i,9OA,,stir/i. Direkti moviĝadon de veturilo: stiri aŭton; stiri ŝipon; stiri biciklon; stiri aviadilon.,,,,,,,,,
STOF/,stof/o,F,,,stofe (mesure),stofe (measure),Stof (Hohlmass),sztof (miara),штофъ,,,,
STOIK/,stoik/a,2OA,,,,,,,,,,,
STOK/,stok/o,9OA,,"stok/o 1 Disponebla kvanto da varoj, krudmaterialoj aŭ fabrikitaĵoj (tenata en provizejo). 2 (figure) Provizo, kolekto (de io havebla por uzo): vortostoko (= vortprovizo); ŝi havas grandan stokon da ŝercoj. stok/i. Teni en stoko; amasigi en stoko; aldoni al stoko: stoki varojn; stoki manĝaĵojn; stokata varo (= varo tenata en stoko/metata en stokon); stokita varo (= varo metita en stokon).",,,,,,,,,
STOMAK/,stomak/o,F,BRO7: stomako,,estomac,stomach,Magen,żołądek,желудокъ,,,,
STOPL/,stopl/o,3OA,,,"éteule, étouble",stubble,Stoppel,ścierń (noto),,rastrojo (noto),stoppia,,haste de cereal
STRAB/,strab/i,F,,,loucher,squint,schielen,zezem patrzeć,косить (глазами),,,,
STRANG/,strang/a,F,BRO6: stranga,,"étrange, bizarre",strange,sonderbar,"dziwny, dziwaczny",странный,,,,
STRANGOL/,strangol/i,9OA,,strangol/i. Sufoki per premo de la gorĝo: strangoli homon; strangoli beston.,,,,,,,,,
STRAT/,strat/o,F,BRO4: strato,,rue,street,Strasse,ulica,улица,,,,
STRATEGI/,strategi/o,2OA,,,,,,,,,,,
STREB/,streb/i,6OA,,streb/i. Energie streĉi la fortojn de la korpo aŭ de la spirito por atingi ian celon.,s’efforcer,to strive,streben,dażyć,,ahincar,"tendere, aspirare con tutte le forze a",,
STREĈ/,streĉ/i,F,BRO6: streĉi,,"tendre, tirer","stretch, strain  AK","spannen, anstrengen","wyprężyć, wytężyć",напрягать,,,,
STREK/,strek/o,F,BRO7: streko,,"rayer, biffer",make a line or stroke  AK,streichen,kreślić,"проводить черту, черкать  AK",,,,
STREK/O,strek/o,F,,,trait,"streak, stroke",Strich,kreska,черта,,,,
STRI/,stri/o,F,BRO8: strio,,"bande, raie","stripe, band  AK",Streifen,"pas, pręga",полоса,,,,
STRIG/,strig/o,F,BRO9: strigo,,hibou,owl,Eule,sowa,сова,,,,
STRIGL/,strigl/i,1OA,,,étriller,to curry-comb,striegeln,czesać zgrzebłem,чистить скребницей,,,,
STRIK/,strik/i,F,BRO8: striki,,grève,strike (labour)  AK,Strike,strejk,"стачка, забастовка  AK",,,,
STRIKNIN/,striknin/o,2OA,,,,,,,,,,,
STROF/,strof/o,1OA,,,strophe,"strophe, verse",Strophe,strofa,строфа,,,,
STRUKTUR/,struktur/o,1OA,BRO8: strukturo,,structure,structure,"Struktur, Gefüge, Bau","struktura, budowa","структура, строеніе",,,,
STRUT/,strut/o,F,BRO9: struto,,autruche,ostrich,Strauss (Vogel),struś,страусъ,,,,
STUD/,stud/i,1OA,BRO5: studi,,étudier,study,studieren,studjować,изучать,,,,
STUDENT/,student/o,F,BRO8: studento,,étudiant,student (of college etc.)  AK,Student,student,студентъ,,,,
STUK/,stuk/i,F,,,"couvrir de stuc, crépir",stucco (vb.)  AK,stuckaturen,sztukaterya,штукатурить,,,,
STULT/,stult/a,2OA,BRO7: stulta,,sot,silly,dumm,,,,,,
STUMP/,stump/o,3OA,BRO8: stumpo,,"tronçon, moignon",stump,Stumpf,pieniek,,"muñón, tarugo (noto)","troncone, moncherino",,"toro, troço, pedaço"
STUP/,stup/o,F,,,étoupe,tow  AK,Hede,pakuły  AK,пакля,,,,
STURG/,sturg/o,F,,,esturgeon,sturgeon,Stör,jesiotr,осетръ,,,,
STURN/,sturn/o,F,,,"étourneau, sansonnet",starling,Star (Vogel),szpak,скворецъ,,,,
SUB,sub,F,BRO1: sub,,sous,"under, beneath, below",unter,pod,подъ,,,,
SUB/AĈET/,sub/aĉet/i,F,,,corrompre,"suborn, bribe  AK",bestechen,przekupyvać,подкупать,,,,
SUB/KUŜ/,sub/kuŝ/i,F,,,succomber,succumb,unterliegen,podlegać,"подлегать, подлежать",,,,
SUB/MAJSTR/,sub/majstr/o,F,,,garçon de métier,"journeyman, foreman  AK",Handwerksgesell,"podmajstrzy, czeladnik",подмастерье,,,,
SUB/TEGMENT/,sub/tegment/o,F,,,galetas,garret,"Boden, Dachstube",poddasze,чердакъ,,,,
SUB/TEN/,sub/ten/i,F,,,"étayer, appuyer","prop, stay","unterstützen, halten  AK",podtrzymywać,поддерживать,,,,
SUBIT/,subit/a,F,BRO6: subita,,"subit, soudain",sudden,plötzlich,nagły,внезапный,,,,
SUBJEKT/,subjekt/o,F,BRO9: subjekto,,sujet,subject (gram.)  AK,Subject,podmiot,подлежащее,,,,
SUBJEKTIV/,subjektiv/a,2OA,,,,,,,,,,,
SUBJUNKTIV/ (gram.),subjunktiv/o,2OA,,,,,,,,,,,
SUBLIMAT/,sublimat/o,F,,,sublimé (chimie)  AK,corrosive sublimate  AK,Sublimat,sublimat,сулема,,,,
SUBSTANC/,substanc/o,2OA,BRO9: substanco,,,,,,,,,,
SUBSTANTIV/,substantiv/o,F,BRO9: substantivo,,substantif,"noun, substantive",Hauptwort,rzeczownik,существительное,,,,
SUBTIL/,subtil/a,1OA,BRO9: subtila,,subtil,subtle,"fein, spitzfindig",subtelny,"субтильный, тонкій",,,,
SUBTRAH/,subtrah/i,8OA,BRO9: subtrahi,subtrah/i. (nombron de alia nombro) Trovi la diferencon de la dua nombro per la unua nombro.,soustraire,to subtract,"subtrahieren, abziehen",,,"substraer, restar",sottrarre,,subtrair (mat.)
SUBVENCI/,subvenci/o,4OA,,subvenci/o. Oficiala monhelpo.,subvention,"subvention, subsidy",Geldunterstützung,,,subvención,sovvenzione,"subvenció, subsidi",subvenção
SUĈ/,suĉ/i,F,BRO9: suĉi,,sucer,suck,saugen,ssać,сосать,,,,
SUD/,sud/o,F,BRO6: sudo,,sud,south,Süden,południe,югъ,,,,
SUDAN/,Sudan/o,8OA,,,,,,,,,,,
SUFER/,sufer/i,F,BRO4: suferi,,"souffrir, endurer",suffer,leiden,cierpieć,страдать,,,,
SUFIĈ/,sufiĉ/a,F,BRO4: sufiĉa,,suffisant,sufficient,genug,"dosyć, dostatecznie","довольно, достаточно",,,,
SUFIKS/,sufiks/o,F +1OA +7OA,,,suffixe,suffix,Suffix,przyrostek,суффиксъ,,,,
SUFLOR/,suflor/o,1OA,,,souffleur,prompter,Souffleur,sufler,суфлеръ,,,,
SUFOK/,sufok/i,F,BRO8: sufoki,,"suffoquer, étouffer",suffocate (trans.)  AK,ersticken (act.),"dusić, zadusić",душить,,,,
SUGEST/,sugest/i,9OA,,"sugest/i 1 Prezenti, proponi (seninsiste) ideon por konsidero: mi sugestas, ke ni faru jene; sugesti solvon; sugesti respondon. 2 Kaŭzi aperon de ideo, pensigi: la simptomoj sugestas, ke li havas malarion; ŝia esprimo sugestis, ke ŝi estas kolera; la flugado de la birdoj sugestis novan ideon por flugmaŝino.",,,,,,,,,
SUGESTI/,sugesti/i,3OA,,,suggestion,suggestion,Suggestion,suggestja,,sugestión (noto),suggestione,,sugestão (noto)
SUK/,suk/o,F,BRO7: suko,,"jus, suc, sève  AK","sap, juice",Saft,sok,сокъ,,,,
SUKCEN/,sukcen/o,F,,,"succin, ambre joune",amber,Bernstein,bursztyn,янтарь,,,,
SUKCES/,sukces/i,F,BRO5: sukcesi,,avoir du succès,succeed  AK,"Erfold haben, gelingen  AK","mieć powodzenie, sukces",имѣть успѣхъ,,,,
SUKER/,suker/o,F,BRO4: sukero,,sucre,sugar,Zucker,cukier,сахаръ,,,,
SULFUR/,sulfur/o,F,,,soufre,sulphur,Schwefel,siarka  AK,сѣра,,,,
SULK/,sulk/o,F,BRO9: sulko,,"sillon, ride  AK",furrow,"Furche, Runzel",brózda,"борозда, морщина  AK",,,,
SULTAN/,sultan/o,1OA,,,sultan,sultan,Sultan,sułtan,султанъ,,,,
SUM/,sum/o,F,BRO5: sumo,,somme,sum,Summe,summa,сумма,,,,
SUN/,sun/o,F,BRO3: suno,,soleil,sun,Sonne,słońce,солнце,,,,
SUN/FLOR/,sun/flor/o,F,,,tournesol,sunflower  AK,Sonnenblume,słonecznik,подсолнечникъ,,,,
SUP/,sup/o,F,BRO6: supo,,"soupe, potage",soup,Suppe,zupa,супъ,,,,
SUPER,super,F,BRO1: super,,"au-dessus de, sur (sans toucher)","over, above","über, oberhalb","nad, ponad  AK",надъ,,,,
SUPER/AKV/,super/akv/i,F,,,"inonder, submerger","overflow, deluge",überschwemmen,zalewać,наводнять,,,,
SUPER/FLU/,super/flu/a,F,,,superflu,superfluous,überflüssig,zbyteczny,лишній,,,,
SUPER/I,super/i,F,,,surpasser,"surpass, excel",übertreffen,przewyższać,превосходить,,,,
SUPER/JAR/,super/jar/o,F,,,année bissextile,leap-year  AK,Schaltjahr,rok przestępny,високосный годъ,,,,
SUPERLATIV/,superlativ/o,1OA,,,superlatif,superlative,Superlativ,stopień najwyższy,превосходная степень,,,,
SUPERSTIĈ/,superstiĉ/o,F,,,superstition,superstition,Aberglaube,zabobon,суевѣріе,,,,
SUPLEMENT/,suplement/o,8OA,BRO9: suplemento,suplement/o. Kompletiga aldono.,supplément,supplement,"Ergänzung, Nachtrag",,,suplemento,supplemento,,suplemento
SUPOZ/,supoz/i,F,BRO7: supozi,,supposer,supose,"vermuten, voraussehen  AK","przypuścić, suponować",предполагать,,,,
SUPR/,supr/o,F,BRO4: supro,,en haut,upper (adj.),oben,na górze,вверху,,,,
SUPR/AĴ/,supr/aĵ/o,F,,,surface,surface,Oberfläche,powierzchnia,поверхность,,,,
